855105,490016,"Stepmom",1998,"Chris Columbus","Julia","Roberts"
658003,492001,"Star Wars, Episode 3: Revenge of the Sith",2005,"George Lucas","Ewan","McGregor"
755015,492001,"Star Wars, Episode 3: Revenge of the Sith",2005,"George Lucas","Natalie","Portman"
907000,492001,"Star Wars, Episode 3: Revenge of the Sith",2005,"George Lucas","Samuel","Jackson"
492107,492002,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson","Ian","Holm"
634004,492002,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson","Liv","Tyler"
634008,492002,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson","Elijah","Wood"
693104,492002,"The Lord of the Rings: The Return of the King",2003,"Peter Jackson","Sean","Astin"
492107,492003,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson","Ian","Holm"
634004,492003,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson","Liv","Tyler"
634008,492003,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson","Elijah","Wood"
693104,492003,"The Lord of the Rings: The Two Towers",2002,"Peter Jackson","Sean","Astin"
48007,492006,"In Good Company",2004,"Paul Weitz","Dennis","Quaid"
492108,492009,"Hotel Rwanda",2004,"Terry George","Don","Cheadle"
525101,525001,"Dr. No",1962,"Terence Young","Sean","Connery"
525106,525001,"Dr. No",1962,"Terence Young","Bernard","Lee"
525109,525001,"Dr. No",1962,"Terence Young","Lois","Maxwell"
525101,525002,"From Russia with Love",1963,"Terence Young","Sean","Connery"
525106,525002,"From Russia with Love",1963,"Terence Young","Bernard","Lee"
525109,525002,"From Russia with Love",1963,"Terence Young","Lois","Maxwell"
525112,525002,"From Russia with Love",1963,"Terence Young","Desmond","Llewelyn"
525101,525003,"Goldfinger",1964,"Guy Hamilton","Sean","Connery"
525106,525003,"Goldfinger",1964,"Guy Hamilton","Bernard","Lee"
525109,525003,"Goldfinger",1964,"Guy Hamilton","Lois","Maxwell"
525112,525003,"Goldfinger",1964,"Guy Hamilton","Desmond","Llewelyn"
525101,525004,"Thunderball",1965,"Terence Young","Sean","Connery"
525106,525004,"Thunderball",1965,"Terence Young","Bernard","Lee"
525109,525004,"Thunderball",1965,"Terence Young","Lois","Maxwell"
525112,525004,"Thunderball",1965,"Terence Young","Desmond","Llewelyn"
525101,525005,"You Only Live Twice",1967,"Lewis Gilbert","Sean","Connery"
525106,525005,"You Only Live Twice",1967,"Lewis Gilbert","Bernard","Lee"
525109,525005,"You Only Live Twice",1967,"Lewis Gilbert","Lois","Maxwell"
525112,525005,"You Only Live Twice",1967,"Lewis Gilbert","Desmond","Llewelyn"
525102,525006,"On Her Majestys Secret Service",1969,"Peter R. Hunt","George","Lazenby"
525106,525006,"On Her Majestys Secret Service",1969,"Peter R. Hunt","Bernard","Lee"
525109,525006,"On Her Majestys Secret Service",1969,"Peter R. Hunt","Lois","Maxwell"
525112,525006,"On Her Majestys Secret Service",1969,"Peter R. Hunt","Desmond","Llewelyn"
525101,525007,"Diamonds are Forever",1971,"Guy Hamilton","Sean","Connery"
525106,525007,"Diamonds are Forever",1971,"Guy Hamilton","Bernard","Lee"
525109,525007,"Diamonds are Forever",1971,"Guy Hamilton","Lois","Maxwell"
525112,525007,"Diamonds are Forever",1971,"Guy Hamilton","Desmond","Llewelyn"
525103,525008,"Live and Let Die",1973,"Guy Hamilton","Roger","Moore"
525106,525008,"Live and Let Die",1973,"Guy Hamilton","Bernard","Lee"
525109,525008,"Live and Let Die",1973,"Guy Hamilton","Lois","Maxwell"
525103,525009,"The Man with the Golden Gun",1974,"Guy Hamilton","Roger","Moore"
525106,525009,"The Man with the Golden Gun",1974,"Guy Hamilton","Bernard","Lee"
525109,525009,"The Man with the Golden Gun",1974,"Guy Hamilton","Lois","Maxwell"
525112,525009,"The Man with the Golden Gun",1974,"Guy Hamilton","Desmond","Llewelyn"
525103,525010,"The Spy Who Loved Me",1977,"Lewis Gilbert","Roger","Moore"
525106,525010,"The Spy Who Loved Me",1977,"Lewis Gilbert","Bernard","Lee"
525109,525010,"The Spy Who Loved Me",1977,"Lewis Gilbert","Lois","Maxwell"
525112,525010,"The Spy Who Loved Me",1977,"Lewis Gilbert","Desmond","Llewelyn"
